question,ground_truth,model_answer,bert_precision,bert_recall,bert_f1
What is the patient's MELD score on admission?,meld score of 10,the patient's meld score was 10 on admission.,0.852,0.851,0.851
Which medication was discontinued due to high potassium levels?,spironolactone,"no medication was discontinued due to high potassium levels. losartan was initially held due to a likely prerenal condition from sepsis, but it was restarted on discharge.",0.794,0.731,0.761
What procedure was performed to remove fluid from the patient's abdomen?,therapeutic paracentesis,"fluid was removed from the patient's abdomen via paracentesis. a drain was also placed to remove fluid from a left abdominal fluid collection. for large pelvic fluid collections, ct-guided repositioning of an existing drain and placement of an additional drain was performed.",0.804,0.895,0.847
What is the furosemide dosage prescribed on discharge?,40 mg po daily,"the discharge furosemide dosage is 40 mg po daily. the prescription is for furosemide 40 mg, 1 tablet by mouth daily, disp #30 tablets, refills: 3.",0.799,0.882,0.839
Was the patient scheduled for outpatient paracentesis?,yes,"yes, the patient is scheduled for a repeat paracentesis as an outpatient. another patient has hcv cirrhosis c/b ascites requiring biweekly therapeutic paracenteses and would like to continue biweekly paracenteses as an outpatient.",0.758,0.825,0.79
What dietary instructions were given on discharge?,low salt diet and fluid restriction,"the discharge instructions state to drink adequate amounts of fluids. increase your intake of fluids and fiber, as narcotic pain medicine can cause constipation. if you are being sent home on steroid medication, make sure you are taking a medication to protect your stomach and take your steroid medication with meals, or a glass of milk.",0.818,0.836,0.827
What is the patient's discharge diagnosis?,"diuretic refractory ascites, hcv cirrhosis, hiv, hyponatremia, copd","the patient's discharge diagnosis is coronary artery disease, transient dysarthria not secondary to tia or stroke and mild vitamin b12 deficiency, atypical chest pain with secondary diagnoses of hypertension, asthma, and diverticulitis, or dementia.",0.815,0.796,0.805
What were the lab values for serum sodium on admission?,125,"the serum sodium values on admission were: 134 at 06:35 am, 132 at 04:24 am, and 135 at 11:30 am. the patient's serum sodium was 125 on admission. the patient's serum sodium level on admission was 146. the serum sodium on admission at 06:02 pm was 140.",0.747,0.819,0.781
Which medications were prescribed for hepatic encephalopathy?,lactulose 30ml tid and rifaximin 550mg bid,"lactulose and rifaximin were prescribed for hepatic encephalopathy. however, another part of the record states that no medications were explicitly prescribed for hepatic encephalopathy.",0.83,0.879,0.854
What was the reason for performing paracentesis?,abdominal pain and worsening distension due to ascites,"paracentesis was performed to remove fluid from the abdomen (ascites) causing abdominal distention, discomfort, and pain. the procedures were done due to cirrhosis or worsening ascites. the paracentesis was therapeutic.",0.853,0.9,0.876
What were the initial vital signs in the ED?,"98.4°f, hr 70, bp 106/63, rr 16, spo2 97% on ra","here are the initial vital signs in the ed from the provided contexts: * temperature: 97.6, 98.7, 98.0, 99.8 * heart rate: 117, 77, 116, 105 * blood pressure: 128/74, 96/50, 100/49, 125/76 * respiratory rate: 18, 16, 24, 20 * oxygen saturation: 95% on room air, 98% on room air, 99% on room air, 99% on room air.",0.794,0.802,0.798
What are the key elements of the patient's past medical history?,"hcv cirrhosis, hiv on art, history of ivdu, copd, bipolar disorder, and ptsd","to provide an accurate answer, please specify which patient's past medical history you are asking about. there are five different patient histories provided.",0.818,0.797,0.807
What did the patient report about her medication adherence?,the patient self-discontinued lasix and spironolactone because she felt they didn't do anything,"the patient denies missing any medication doses. however, she stated she hasn't taken theophylline since an unspecified date, even though it is not on her medication list.",0.855,0.845,0.85
What imaging studies were performed in the ED?,ultrasound and ct scan were performed,the imaging studies performed in the ed were a cxr and a t-spine film. x-rays of the back were also performed.,0.861,0.881,0.871
What lab abnormalities were noted on admission?,"alt 100, ast 114, tbili 1.6, wbc 5k, platelet 77, inr 1.6","on admission, the patient had hyponatremia with a sodium level of 126 or 125, hyperkalemia with a potassium level of 6.7, elevated alt of 153, elevated ast of 275, elevated total bilirubin of 1.9, and an elevated inr of 1.5. the patient also had low albumin of 2.8 and mild thrombocytopenia with platelets at 143.",0.816,0.863,0.839
What was the patient's chief complaint on admission?,worsening abdominal distension and pain,"here are the chief complaints described in the context: * ""i have been overwhelmed and i felt suicidal."" * malaise and shortness of breath (sob) during an episode of tachyarrhythmia. * worsening abdominal distension and pain. * dyspnea. * dyspnea and chest tightness.",0.819,0.904,0.86
What service was the patient admitted to?,medicine,"the patient was admitted to the surgery, psychiatry, orthopedic surgery, medicine, and obstetrics/gynecology services.",0.75,0.822,0.784
What is the patient's sex?,f,the patient's sex is female. the patient is also male.,0.811,0.801,0.806
What is the patient's allergy status?,no known allergies / adverse drug reactions,"the patient is allergic to codeine, gabapentin, morphine, amoxicillin, metronidazole, propoxyphene, rofecoxib, macrobid, furosemide, amitiza, sulfa (sulfonamide antibiotics), tylenol, hydromorphone, and toradol. the patient also has no known drug allergies.",0.719,0.872,0.788
What mental status changes did the patient experience?,brief period of confusion and forgetfulness,"the patients experienced confusion secondary to hepatic encephalopathy, visual hallucinations, altered mental status, and memory loss. one patient was only oriented to person in the ed. another patient experienced depressed mood, anxiety, anhedonia, social isolation and withdrawal, escalating feelings of guilt, poor sleep secondary to ruminations of guilt, and trouble concentrating.",0.821,0.869,0.844
